Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,41,1.69,23,11,4,1,1,1,3,0.12,2,0,1,0,0,0
2,Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,eng Premier League,21,1995,1.5,1,0.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
3,Rolando Aarons\Rolando-Aarons,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,5.7,3,0.52,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
4,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,30,1986,11.7,26,2.22,22,2,0,2,0,0,4,0.34,3,0,0,1,0,0
5,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.6,1,0.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
6,Aly Abeid\Aly-Abeid,mr MTN,DF,Levante,es La Liga,19,1997,0.8,3,3.46,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
7,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,13.1,15,1.15,11,1,0,2,0,1,1,0.08,1,0,0,0,0,0
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,16,0.63,12,1,0,3,0,0,2,0.08,1,0,0,1,0,0
9,Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,eng Premier League,19,1997,19.2,32,1.67,20,0,6,3,2,1,2,0.10,1,0,0,1,0,0
10,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,9.4,12,1.27,10,0,0,0,2,0,1,0.11,1,0,0,0,0,0
