Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,1369,83,448,578,437,39,1148,17,26,65.4,20,0,767,4366,2403,123,39,11,23,17,765,709,92.7,49
2,Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,eng Premier League,21,1995,1.5,67,0,14,33,26,3,67,2,3,66.7,2,0,48,236,149,9,4,0,4,5,59,39,66.1,6
3,Rolando Aarons\Rolando-Aarons,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,5.7,173,2,20,82,87,7,167,9,18,50.0,11,0,136,660,391,14,6,1,10,15,212,126,59.4,31
4,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,30,1986,11.7,870,40,231,464,226,12,757,1,5,20.0,2,0,552,2419,1419,66,21,1,3,6,605,565,93.4,22
5,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.6,359,34,224,160,5,2,358,1,1,100.0,1,0,269,1828,762,11,1,0,0,0,267,259,97.0,2
6,Aly Abeid\Aly-Abeid,mr MTN,DF,Levante,es La Liga,19,1997,0.8,46,3,20,19,11,0,39,0,0,,0,0,25,136,93,3,2,0,1,0,21,20,95.2,1
7,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,13.1,762,30,257,453,129,16,749,11,22,50.0,13,1,551,3340,1512,40,13,1,14,17,537,493,91.8,29
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,1561,151,830,844,43,13,1526,13,14,92.9,13,0,955,6028,3395,78,11,0,5,6,903,890,98.6,11
9,Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,eng Premier League,19,1997,19.2,535,11,42,246,275,72,516,26,45,57.8,27,0,368,1529,624,31,6,6,60,35,691,392,56.7,157
10,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,9.4,471,28,122,288,80,9,467,5,11,45.5,7,0,277,1150,507,25,9,1,9,14,266,230,86.5,20
11,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38.0,2089,331,1099,959,156,26,1994,15,20,75.0,16,0,1150,7171,3116,96,35,2,19,13,1047,1004,95.9,28
12,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Torino,it Serie A,25,1992,10.6,573,11,101,398,127,6,568,14,22,63.6,15,0,449,2818,1442,58,23,1,8,18,435,406,93.3,24
13,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,eng Premier League,31,1985,4.6,330,10,63,205,93,5,305,7,8,87.5,7,1,216,1104,493,24,7,0,6,3,222,205,92.3,9
14,Antonio Adán\Antonio-Adan,es ESP,GK,Betis,es La Liga,30,1987,30.0,1163,999,1160,4,2,0,978,4,4,100.0,4,0,751,3850,2335,0,1,0,0,0,655,655,100.0,0
15,Aday\Aday,es ESP,DFMF,Girona,es La Liga,29,1987,20.4,1205,57,249,522,525,45,1054,27,36,75.0,27,0,795,5416,2864,145,45,12,25,19,849,738,86.9,90
16,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,32.5,1504,262,1045,535,17,10,1464,1,3,33.3,1,0,778,4515,2233,27,0,0,5,6,709,691,97.5,10
17,Claud Adjapong\Claud-Adjapong,it ITA,DFMF,Sassuolo,it Serie A,19,1998,13.6,693,42,210,319,222,34,631,16,25,64.0,18,0,443,2460,1365,56,23,8,17,26,455,379,83.3,36
18,René Adler\Rene-Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14.0,442,334,440,3,0,0,333,0,0,,0,0,237,1236,652,0,0,0,0,0,171,171,100.0,1
19,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DFMF,Udinese,it Serie A,23,1993,18.6,1145,99,355,536,313,7,938,25,32,78.1,25,0,562,2791,1545,71,33,2,17,17,602,548,91.0,27
20,Adrián\Adrian,es ESP,GK,West Ham,eng Premier League,30,1987,19.0,553,485,548,7,0,0,401,0,0,,0,0,241,1839,1111,0,0,0,0,0,171,171,100.0,0
21,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,36,1981,23.9,731,17,44,322,409,122,709,23,35,65.7,27,2,475,1916,843,51,20,11,43,28,1077,561,52.1,211
22,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,eng Premier League,31,1986,1.8,89,0,23,60,15,1,88,1,1,100.0,1,1,74,415,136,3,1,0,2,3,69,64,92.8,4
23,Benik Afobe\Benik-Afobe,cd COD,FWMF,Bournemouth,eng Premier League,24,1993,6.8,224,7,20,96,122,28,217,4,5,80.0,4,0,134,712,302,17,4,5,26,8,290,164,56.6,62
24,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,21,1996,20.3,1058,86,383,472,252,6,896,18,29,62.1,21,1,580,2747,1516,66,16,5,17,14,520,480,92.3,23
