Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,P_Att,P_Live,P_Dead,P_FK,P_TB,P_Press,P_Sw,P_Crs,P_CK,P_InCK,P_OutCK,P_StrCK,P_Ground,P_Low,P_High,P_Left,P_Right,P_Head,P_TI,P_Other,P_Cmp,P_Off,P_Out,P_Int,P_Blocks
1,Patrick van Aanholt,NLD,DF,Crystal Palace,Premier League,26,1990,24.3,1116,895,221,21,0,183,21,42,11,0,1,0,682,131,303,717,175,30,189,4,845,3,24,19,37
2,Rolando Aarons,ENG,FW,Newcastle United,Premier League,21,1995,1.5,41,41,0,0,0,10,1,2,0,0,0,0,31,6,4,29,8,2,0,0,27,1,1,2,3
3,Rolando Aarons,ENG,MF,Hellas Verona,Serie A,21,1995,5.7,115,106,9,4,0,32,4,6,0,0,0,0,76,19,20,79,26,2,2,0,81,0,9,1,7
4,Ignazio Abate,ITA,DF,AC Milan,Serie A,30,1986,11.7,774,659,115,9,0,122,16,26,2,0,0,1,466,119,189,65,584,16,104,0,625,4,14,9,26
5,Aymen Abdennour,TUN,DF,Olympique Marseille,Ligue 1,27,1989,5.6,336,335,1,1,0,38,9,0,0,0,0,0,285,24,27,294,20,17,0,2,304,1,6,2,4
6,Aly Abeid,MRT,DF,Levante UD,La Liga,19,1997,0.8,38,31,7,0,0,1,0,2,0,0,0,0,20,10,8,20,10,1,7,0,29,0,1,1,2
7,Mehdi Abeid,DZA,MF,Dijon FCO,Ligue 1,24,1992,13.1,611,598,13,8,0,78,20,7,1,0,0,0,494,45,72,47,520,36,4,1,519,1,16,15,10
8,David Abraham,ARG,DF,Eintracht Frankfurt,Bundesliga,31,1986,25.6,1313,1274,39,32,1,147,68,6,0,0,0,0,823,165,325,208,923,135,7,2,1081,4,29,10,10
9,Tammy Abraham,ENG,FW,Swansea City,Premier League,19,1997,19.2,309,290,19,0,0,102,7,11,0,0,0,0,202,49,58,24,222,35,1,7,208,0,6,11,14
10,Amir Abrashi,ALB,MF,SC Freiburg,Bundesliga,27,1990,9.4,335,329,6,5,0,84,9,4,0,0,0,0,205,52,78,18,272,28,1,1,260,0,9,8,8
11,Francesco Acerbi,ITA,DF,US Sassuolo,Serie A,29,1988,38.0,1643,1546,97,72,1,235,74,9,0,0,0,0,1007,233,403,1150,271,131,25,3,1359,3,41,20,17
12,Afriyie Acquah,GHA,MF,Torino FC,Serie A,25,1992,10.6,480,475,5,4,0,88,5,8,0,0,0,0,373,45,62,25,423,19,0,1,403,2,8,6,10
13,Charlie Adam,SCO,MF,Stoke City,Premier League,31,1985,4.6,281,254,27,14,1,59,17,14,9,0,0,1,132,29,120,216,40,17,4,0,169,5,12,7,11
14,Antonio Adán,ESP,GK,Real Betis Balompié,La Liga,30,1987,30.0,1035,848,187,57,0,157,26,0,0,0,0,0,512,35,488,755,161,3,0,96,714,1,32,5,3
15,Aday Benítez,ESP,DF,Girona FC,La Liga,29,1987,20.4,1006,861,145,7,0,195,39,99,4,0,0,0,528,149,329,118,656,81,134,1,695,2,34,24,40
16,Khaled Adénon,BEN,DF,Amiens SC,Ligue 1,32,1985,32.5,1168,1124,44,43,1,141,28,1,0,0,0,0,817,94,257,220,792,137,1,3,958,3,35,14,16
17,Claud Adjapong,ITA,DF,US Sassuolo,Serie A,19,1998,13.6,514,452,62,1,0,86,2,24,1,0,0,0,288,76,150,81,323,41,60,2,360,2,8,9,27
18,René Adler,DEU,GK,1.FSV Mainz 05,Bundesliga,32,1985,14.0,386,272,114,24,0,24,11,0,0,0,0,0,161,13,212,39,284,1,0,40,241,3,15,1,0
19,Ali Adnan,IRQ,DF,Udinese Calcio,Serie A,23,1993,18.6,902,692,210,17,0,124,27,53,24,6,3,1,373,161,368,473,153,63,169,5,588,0,21,12,38
20,Adrián,ESP,GK,West Ham United,Premier League,30,1987,19.0,430,276,154,33,0,52,18,0,0,0,0,0,67,9,354,15,332,0,0,32,187,3,16,4,0
21,Aritz Aduriz,ESP,FW,Athletic Bilbao,La Liga,36,1981,23.9,509,490,19,1,0,135,5,16,1,0,0,0,295,110,104,54,307,81,4,16,329,2,13,10,27
22,Ibrahim Afellay,NLD,MF,Stoke City,Premier League,31,1986,1.8,81,80,1,0,0,24,2,0,0,0,0,0,72,3,6,21,55,4,1,0,70,0,1,1,1
23,Benik Afobe,COD,FW,AFC Bournemouth,Premier League,24,1993,6.8,145,138,7,0,0,46,0,0,0,0,0,0,102,23,20,33,78,10,0,7,106,0,5,3,4
24,Martín Aguirregabiria,ESP,DF,Deportivo Alavés,La Liga,21,1996,20.3,873,709,164,3,1,170,11,35,0,0,0,0,441,196,236,47,578,76,161,5,598,0,36,31,54
25,Imanol Agirretxe,ESP,FW,Real Sociedad,La Liga,30,1987,2.6,56,55,1,0,0,14,0,0,0,0,0,0,34,9,13,9,38,5,0,0,36,1,3,1,2
26,Sergio Agüero,ARG,FW,Manchester City,Premier League,29,1988,21.8,647,621,26,0,2,168,4,17,1,0,0,0,521,69,57,77,544,15,3,5,530,3,7,20,20
27,Ruben Aguilar,FRA,DF,Montpellier HSC,Ligue 1,24,1993,27.3,1478,1191,287,8,0,212,29,83,0,0,0,0,855,201,422,77,1046,72,279,1,1114,11,35,50,55
28,Matías Aguirregaray,URY,DF,UD Las Palmas,La Liga,28,1989,12.8,668,559,109,8,0,96,7,16,0,0,0,0,399,81,188,61,476,23,101,3,489,3,18,11,14
29,Jean-Eudes Aholou,CIV,MF,RC Strasbourg Alsace,Ligue 1,23,1994,33.4,1346,1335,11,10,1,214,34,1,0,0,0,0,1074,90,182,965,267,93,1,2,1147,3,24,23,25
30,Aílton,BRA,DF,VfB Stuttgart,Bundesliga,22,1995,1.2,62,51,11,3,0,13,3,4,0,0,0,0,37,6,19,46,3,4,8,0,45,0,1,1,3
31,Youssef Aït Bennasser,MAR,MF,SM Caen,Ligue 1,21,1996,22.8,1145,1130,15,10,3,202,59,9,2,0,0,0,871,67,207,166,897,71,1,4,938,3,28,24,25
32,Arlind Ajeti,ALB,DF,FC Crotone,Serie A,23,1993,14.1,365,355,10,10,1,52,6,1,0,0,0,0,218,50,97,40,280,30,0,3,286,0,12,5,7
33,Manuel Akanji,CHE,DF,Borussia Dortmund,Bundesliga,22,1995,10.0,604,570,34,12,0,73,24,2,0,0,0,0,440,75,89,142,394,34,22,3,521,0,8,8,6
34,Nathan Aké,NLD,DF,AFC Bournemouth,Premier League,22,1995,37.3,1615,1576,39,29,0,200,22,7,0,0,0,0,1148,137,330,1185,183,194,10,6,1325,2,37,17,21
35,Ager Aketxe,ESP,MF,Athletic Bilbao,La Liga,23,1993,0.5,41,36,5,2,0,6,2,2,3,0,0,0,32,0,9,30,10,1,0,0,32,0,1,0,1
36,Chadrac Akolo,COD,FW,VfB Stuttgart,Bundesliga,22,1995,12.2,316,308,8,0,1,64,4,18,1,0,1,0,220,54,42,16,272,16,3,2,242,6,0,15,10
37,Kevin Akpoguma,NGA,DF,TSG 1899 Hoffenheim,Bundesliga,22,1995,18.8,1010,967,43,36,1,147,18,6,0,0,0,0,772,114,124,115,843,28,7,2,866,2,18,12,14
38,David Alaba,AUT,DF,Bayern Munich,Bundesliga,25,1992,17.2,1320,1160,160,7,2,203,21,72,6,0,3,3,905,229,186,999,128,33,147,1,1120,1,10,21,43
39,Lucas Alario,ARG,FW,Bayer 04 Leverkusen,Bundesliga,24,1992,17.2,400,370,30,1,2,94,3,8,0,0,0,0,241,99,60,42,279,33,1,11,302,2,4,4,13
40,David Alba,ESP,DF,Getafe CF,La Liga,18,1999,0.7,11,11,0,0,0,2,0,0,0,0,0,0,4,6,1,1,7,3,0,0,6,0,2,1,0
41,Jordi Alba,ESP,DF,FC Barcelona,La Liga,28,1989,30.5,2323,2105,218,23,1,387,22,75,1,0,0,0,1797,284,242,1763,298,57,194,5,1985,8,20,43,79
42,Raúl Albentosa,ESP,DF,Deportivo de La Coruña,La Liga,28,1988,19.4,782,760,22,21,2,108,27,3,0,0,0,0,489,76,217,105,567,91,1,4,600,3,26,7,12
43,Luis Alberto,ESP,MF,SS Lazio,Serie A,24,1992,29.7,1824,1568,256,62,15,332,93,53,162,34,25,6,1208,214,402,109,1643,25,23,16,1339,21,30,40,62
44,Raúl Albiol,ESP,DF,SSC Napoli,Serie A,31,1985,30.5,2510,2474,36,36,2,271,161,3,0,0,0,0,1716,394,400,309,2001,138,0,10,2223,4,37,23,19
45,Miiko Albornoz,CHL,DF,Hannover 96,Bundesliga,26,1990,7.8,423,330,93,7,0,64,8,16,0,0,0,0,161,141,121,269,40,15,86,4,324,2,10,9,12
46,Marc Albrighton,ENG,MF,Leicester City,Premier League,27,1989,28.2,1260,1116,144,27,3,223,95,138,64,16,3,1,645,133,482,121,1056,26,50,2,747,8,52,32,71
47,Paco Alcácer,ESP,FW,FC Barcelona,La Liga,23,1993,7.8,236,227,9,1,0,43,2,7,3,0,0,0,191,19,26,41,180,8,2,2,193,2,2,6,9
48,Pedro Alcalá,ESP,DF,Girona FC,La Liga,28,1989,7.6,307,296,11,11,0,36,23,1,0,0,0,0,156,29,122,10,240,49,0,4,208,0,19,1,6
49,Thiago,ESP,MF,Bayern Munich,Bundesliga,26,1991,13.9,1309,1271,38,21,3,174,64,12,8,5,1,1,963,169,177,95,1162,25,7,5,1190,3,17,14,7
50,David Alcibiade,FRA,DF,FC Nantes,Ligue 1,25,1991,2.3,94,75,19,2,0,10,3,5,0,0,0,0,41,14,39,7,59,9,17,1,69,0,2,1,0
51,Toby Alderweireld,BEL,DF,Tottenham Hotspur,Premier League,28,1989,13.1,923,900,23,14,2,103,63,4,0,0,0,0,656,64,203,158,703,50,9,1,782,0,17,10,5
52,Aldo One,CMR,DF,Deportivo de La Coruña,La Liga,22,1995,1.0,22,21,1,1,0,0,0,0,0,0,0,0,17,2,3,20,0,2,0,0,18,0,0,0,0
53,Alex Alegría,ESP,FW,Levante UD,La Liga,24,1992,6.9,154,141,13,0,0,41,0,3,0,0,0,0,98,27,29,35,83,21,0,3,110,1,2,2,5
54,Iván Alejo,ESP,FW,SD Eibar,La Liga,22,1995,12.5,354,345,9,1,0,84,14,76,2,0,0,0,172,60,122,28,288,26,6,2,188,2,15,7,39
