Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Patrick van Aanholt,NLD,DF,Crystal Palace,Premier League,26,1990,24.3,5,33,12,36.4,1.36,0.49,0.15,0.42,22.7,4,0,0,3.1,3.1,0.09,+1.9,+1.9
2,Rolando Aarons,ENG,MF,Hellas Verona,Serie A,21,1995,5.7,0,3,0,0.0,0.52,0.00,0.00,,15.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2
3,Rolando Aarons,ENG,FW,Newcastle United,Premier League,21,1995,1.5,0,2,0,0.0,1.29,0.00,0.00,,20.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2
4,Ignazio Abate,ITA,DF,AC Milan,Serie A,30,1986,11.7,1,4,2,50.0,0.34,0.17,0.25,0.50,17.9,0,0,0,0.3,0.3,0.07,+0.7,+0.7
5,Aymen Abdennour,TUN,DF,Olympique Marseille,Ligue 1,27,1989,5.6,0,2,1,50.0,0.36,0.18,0.00,0.00,11.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1
6,Aly Abeid,MRT,DF,Levante UD,La Liga,19,1997,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
7,Mehdi Abeid,DZA,MF,Dijon FCO,Ligue 1,24,1992,13.1,0,21,6,28.6,1.61,0.46,0.00,0.00,24.7,2,0,0,1.0,1.0,0.05,-1.0,-1.0
8,David Abraham,ARG,DF,Eintracht Frankfurt,Bundesliga,31,1986,25.6,0,12,1,8.3,0.47,0.04,0.00,0.00,13.6,0,0,0,0.5,0.5,0.04,-0.5,-0.5
9,Tammy Abraham,ENG,FW,Swansea City,Premier League,19,1997,19.2,5,43,14,32.6,2.24,0.73,0.12,0.36,12.4,0,0,0,6.3,6.3,0.15,-1.3,-1.3
10,Amir Abrashi,ALB,MF,SC Freiburg,Bundesliga,27,1990,9.4,0,5,0,0.0,0.53,0.00,0.00,,20.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2
