Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Min/90,GA,GA/90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKGA,PKsv,PKm,PK%
1,Antonio Adán,ESP,GK,Atlético de Madrid,La Liga,31,1987,2,1,90,1.0,2,2.00,7,5,71.4,0,1,0,0,0.0,0,0,0,0,
2,Rúnar Alex Rúnarsson,ISL,GK,Dijon FCO,Ligue 1,23,1995,25,25,2250,25.0,44,1.76,96,55,56.3,7,5,13,5,20.0,2,2,0,0,0.0
3,Alisson,BRA,GK,Liverpool FC,Premier League,25,1992,38,38,3420,38.0,22,0.58,96,74,77.1,30,7,1,21,55.3,1,0,0,1,
4,Bobby Allain,FRA,GK,Dijon FCO,Ligue 1,26,1991,13,13,1170,13.0,17,1.31,74,58,78.4,2,2,9,1,7.7,1,1,0,0,0.0
5,Sergio Álvarez,ESP,GK,Celta de Vigo,La Liga,31,1986,13,13,1170,13.0,22,1.69,57,38,64.9,3,5,5,2,15.4,2,2,0,0,0.0
6,Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,34,1984,11,11,990,11.0,11,1.00,33,22,66.7,3,2,6,2,18.2,0,0,0,0,
7,Alphonse Areola,FRA,GK,Paris Saint-Germain,Ligue 1,25,1993,21,21,1890,21.0,17,0.81,63,51,79.4,16,3,2,11,52.4,4,4,0,0,0.0
8,Kepa,ESP,GK,Chelsea FC,Premier League,23,1994,36,36,3240,36.0,39,1.08,117,78,67.5,20,8,8,14,38.9,2,1,1,0,50.0
9,Sergio Asenjo,ESP,GK,Villarreal CF,La Liga,29,1989,32,32,2880,32.0,45,1.41,164,124,73.8,7,12,13,9,28.1,4,2,1,1,33.3
10,Emil Audero,ITA,GK,UC Sampdoria,Serie A,21,1997,36,36,3240,36.0,51,1.42,142,98,69.0,14,7,15,11,30.6,8,7,1,0,12.5
11,Francesco Bardi,ITA,GK,Frosinone Calcio,Serie A,26,1992,3,3,270,3.0,5,1.67,11,6,54.5,0,1,2,1,33.3,0,0,0,0,
12,Oliver Baumann,DEU,GK,TSG 1899 Hoffenheim,Bundesliga,28,1990,33,33,2970,33.0,51,1.55,159,114,71.7,12,12,9,5,15.2,7,6,1,0,14.3
13,Asmir Begovic,BIH,GK,AFC Bournemouth,Premier League,31,1987,24,24,2160,24.0,47,1.96,101,58,55.4,8,3,13,5,20.8,2,2,0,0,0.0
14,Diego Benaglio,CHE,GK,AS Monaco,Ligue 1,34,1983,23,22,2057,22.9,38,1.66,94,60,62.8,4,6,12,4,18.2,5,3,2,0,40.0
15,Walter Benítez,ARG,GK,OGC Nice,Ligue 1,25,1993,35,35,3150,35.0,29,0.83,141,115,80.9,15,10,10,16,45.7,5,2,3,0,60.0
16,Etrit Berisha,ALB,GK,Atalanta BC,Serie A,29,1989,18,18,1620,18.0,26,1.44,64,43,60.9,9,3,6,5,27.8,2,1,0,1,0.0
17,Paul Bernardoni,FRA,GK,Nîmes Olympique,Ligue 1,21,1997,38,38,3420,38.0,58,1.53,177,122,69.5,15,8,15,10,26.3,5,4,1,0,20.0
18,Dimitry Bertaud,FRA,GK,Montpellier HSC,Ligue 1,20,1998,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,
19,Marcus Bettinelli,ENG,GK,Fulham FC,Premier League,26,1992,7,7,630,7.0,20,2.86,38,19,50.0,1,2,4,0,0.0,3,1,1,1,50.0
20,Rubén Blanco,ESP,GK,Celta de Vigo,La Liga,23,1995,25,25,2250,25.0,40,1.60,106,70,66.0,7,6,12,6,24.0,5,4,0,1,0.0
21,Artur Boruc,POL,GK,AFC Bournemouth,Premier League,38,1980,12,12,1080,12.0,18,1.50,52,36,71.2,4,3,5,4,33.3,3,3,0,0,0.0
22,Zacharie Boucher,FRA,GK,SCO Angers,Ligue 1,26,1992,2,2,180,2.0,1,0.50,4,3,75.0,1,1,0,1,50.0,0,0,0,0,
23,Bono,MAR,GK,Girona FC,La Liga,27,1991,32,32,2862,31.8,43,1.35,162,126,77.2,8,10,14,8,25.0,6,6,0,0,0.0
24,Fabian Bredlow,DEU,GK,1.FC Nuremberg,Bundesliga,23,1995,14,12,1127,12.5,28,2.24,60,32,55.0,2,3,7,2,16.7,3,1,1,1,50.0
25,Gianluigi Buffon,ITA,GK,Paris Saint-Germain,Ligue 1,40,1978,17,17,1530,17.0,18,1.06,61,47,72.1,13,1,3,6,35.3,2,1,1,0,50.0
26,Roman Bürki,CHE,GK,Borussia Dortmund,Bundesliga,27,1990,32,32,2880,32.0,40,1.25,125,88,71.2,21,7,4,10,31.3,4,4,0,0,0.0
27,Ludovic Butelle,FRA,GK,SCO Angers,Ligue 1,35,1983,36,36,3239,36.0,48,1.33,156,112,71.2,9,15,12,12,33.3,5,3,2,0,40.0
28,David Button,ENG,GK,Brighton & Hove Albion,Premier League,29,1989,4,4,360,4.0,5,1.25,15,12,80.0,1,1,2,1,25.0,2,2,0,0,0.0
29,Willy Caballero,ARG,GK,Chelsea FC,Premier League,36,1981,2,2,180,2.0,0,0.00,3,3,100.0,1,1,0,2,100.0,0,0,0,0,
30,Rafael,BRA,GK,UC Sampdoria,Serie A,28,1990,2,2,180,2.0,1,0.50,2,2,50.0,1,1,0,2,100.0,0,0,0,0,
31,Marc-Aurèle Caillard,FRA,GK,EA Guingamp,Ligue 1,24,1994,21,21,1890,21.0,34,1.62,90,56,63.3,4,7,10,6,28.6,2,1,1,0,50.0
