Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,CrdY,CrdR,2CrdY,FlsCom,FlsRec,Off,Crs,Int,TklW,PKRec,PKCom,OG,Recov,AWon,ALost,AWon%
1,Ismaël Aaneba,FRA,FW,RC Strasbourg Alsace,Ligue 1,21,1999,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
2,Patrick van Aanholt,NLD,DF,Crystal Palace,Premier League,29,1990,19.7,2,0,0,11,4,3,34,34,19,0,0,0,179,10,11,47.6
3,Issah Abass,GHA,DF,1.FSV Mainz 05,Bundesliga,21,1998,0.2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,
4,Yunis Abdelhamid,MAR,DF,Stade Reims,Ligue 1,32,1987,32.1,4,1,0,38,23,0,0,56,45,0,0,0,289,93,49,65.5
5,Sabit Abdulai,GHA,MF,Getafe CF,La Liga,21,1999,0.7,1,0,0,2,1,0,1,1,0,0,0,0,5,1,1,50.0
6,Mehdi Abeid,DZA,MF,FC Nantes,Ligue 1,27,1992,14.7,5,0,0,30,22,1,21,23,24,0,0,0,146,12,19,38.7
7,Laurent Abergel,FRA,MF,FC Lorient,Ligue 1,27,1993,32.9,5,0,0,43,38,0,18,46,108,1,0,0,298,8,19,29.6
8,Charles Abi,FRA,FW,AS Saint-Étienne,Ligue 1,20,2000,10.1,1,0,0,18,8,7,4,7,4,0,0,0,40,36,62,36.7
9,Matthis Abline,FRA,FW,Stade Rennais FC,Ligue 1,17,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,Pape Abou Cissé,SEN,DF,AS Saint-Étienne,Ligue 1,24,1995,14.0,1,0,0,10,9,1,1,32,11,0,0,0,127,57,15,79.2
11,David Abraham,ARG,DF,Eintracht Frankfurt,Bundesliga,34,1986,13.6,5,1,1,11,8,1,8,15,13,0,0,0,176,39,26,60.0
12,Tammy Abraham,ENG,FW,Chelsea FC,Premier League,22,1997,11.6,0,0,0,22,12,5,4,2,4,1,0,0,47,39,28,58.2
13,Amir Abrashi,ALB,MF,SC Freiburg,Bundesliga,30,1990,0.7,0,0,0,4,0,0,0,2,1,0,0,0,6,1,2,33.3
14,Gennaro Acampora,ITA,MF,Spezia Calcio,Serie A,26,1994,4.9,2,0,0,10,12,1,7,4,7,0,0,0,49,0,9,0.0
15,Francesco Acerbi,ITA,DF,SS Lazio,Serie A,32,1988,31.3,9,1,1,31,25,2,26,62,38,0,0,0,368,77,26,74.8
16,Ragnar Ache,DEU,FW,Eintracht Frankfurt,Bundesliga,22,1998,1.1,1,0,0,5,1,1,0,0,0,0,0,0,7,13,4,76.5
17,Marcos Acuña,ARG,DF,Sevilla FC,La Liga,28,1991,25.9,5,0,0,45,33,2,81,25,47,0,2,0,215,19,31,38.0
18,Ché Adams,SCO,FW,Southampton FC,Premier League,24,1996,29.6,1,0,0,29,55,19,13,11,17,0,0,0,119,47,141,25.0
19,Tyler Adams,USA,DF,RB Leipzig,Bundesliga,21,1999,20.6,3,0,0,29,29,2,12,31,31,0,0,0,227,25,19,56.8
20,Sargis Adamyan,ARM,FW,TSG 1899 Hoffenheim,Bundesliga,27,1993,5.3,2,0,0,5,8,3,6,7,5,0,0,0,29,9,16,36.0
21,Tosin Adarabioyo,ENG,DF,Fulham FC,Premier League,22,1997,32.8,1,0,0,16,6,2,3,55,26,0,1,1,278,100,39,71.9
22,Bobby Adekanye,NLD,FW,Cádiz CF,La Liga,21,1999,0.4,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,
23,Yacine Adli,FRA,MF,FC Girondins Bordeaux,Ligue 1,20,2000,26.9,6,0,0,39,37,0,30,41,62,0,0,0,216,30,25,54.5
24,Andrea Adorante,ITA,FW,Parma Calcio 1913,Serie A,20,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
25,Adrián,ESP,GK,Liverpool FC,Premier League,33,1987,3.0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,
26,Martín Aguirregabiria,ESP,DF,Deportivo Alavés,La Liga,24,1996,17.3,1,0,0,24,24,1,22,34,16,0,0,0,126,25,24,51.0
27,Lucien Agoume,FRA,MF,Spezia Calcio,Serie A,18,2002,8.9,2,0,0,16,9,0,0,20,11,0,0,0,104,10,6,62.5
28,Felix Agu,DEU,DF,SV Werder Bremen,Bundesliga,20,1999,7.8,0,0,0,5,26,1,10,21,16,0,0,0,65,12,14,46.2
29,Kevin Agudelo,COL,FW,Spezia Calcio,Serie A,21,1998,15.1,4,0,0,20,32,2,10,5,30,0,0,0,66,20,36,35.7
30,Nayef Aguerd,MAR,DF,Stade Rennais FC,Ligue 1,24,1996,35.0,6,0,0,22,30,2,1,39,37,0,1,0,331,128,57,69.2
31,Sergio Agüero,ARG,FW,Manchester City,Premier League,32,1988,6.2,0,0,0,2,7,1,2,4,0,0,0,0,18,2,6,25.0
32,Ruben Aguilar,FRA,DF,AS Monaco,Ligue 1,27,1993,24.7,6,0,0,40,36,1,100,37,48,1,0,0,251,50,38,56.8
33,Naouirou Ahamada,FRA,MF,VfB Stuttgart,Bundesliga,18,2002,2.8,2,1,0,6,9,0,1,4,1,0,1,0,22,1,2,33.3
34,Mattéo Ahlinvi,BEN,MF,Nîmes Olympique,Ligue 1,21,1999,10.0,0,0,0,16,15,1,4,4,19,0,1,0,67,5,11,31.3
35,Bamba Dieng,SEN,FW,Olympique Marseille,Ligue 1,20,2000,1.4,0,0,0,2,2,3,1,1,2,1,0,0,5,1,5,16.7
36,Jean-Eudes Aholou,CIV,MF,RC Strasbourg Alsace,Ligue 1,26,1994,23.8,9,0,0,50,33,0,5,54,35,0,0,0,237,43,30,58.9
37,Jean-Eudes Aholou,CIV,MF,AS Monaco,Ligue 1,26,1994,0.4,0,0,0,0,1,0,0,2,0,0,0,0,3,1,1,50.0
38,Joseph Aidoo,GHA,DF,Celta de Vigo,La Liga,24,1995,14.3,3,0,0,13,14,1,1,16,17,0,0,0,153,49,42,53.8
39,Ola Aina,NGA,DF,Fulham FC,Premier League,23,1996,29.6,3,0,0,31,26,2,42,52,25,0,0,0,251,33,43,43.4
40,Rayan Aït Nouri,FRA,DF,Wolverhampton Wanderers,Premier League,19,2001,15.6,1,0,0,16,19,1,30,15,16,0,1,0,118,14,21,40.0
41,Rayan Aït Nouri,FRA,DF,SCO Angers,Ligue 1,19,2001,2.1,0,0,0,2,3,0,4,1,2,0,0,0,12,2,4,33.3
42,Semi Ajayi,NGA,DF,West Bromwich Albion,Premier League,26,1993,30.9,3,1,0,28,4,1,6,41,42,0,2,0,264,85,46,64.9
