SquadIn,PlayerIn,NationIn,PosIn,Value,SquadOut,Fee,PlayerOut,PosOut,Relevant,PredRelevant,PredSuccess%
Atlético de Madrid,Rodrigo de Paul,ARG,MF,40000000,Udinese Calcio,35000000.0,Felipe,DF,False,False,0.6237392456128088
Atlético de Madrid,Rodrigo de Paul,ARG,MF,40000000,Udinese Calcio,35000000.0,Jan Oblak,GK,False,False,0.47781403838464126
Atlético de Madrid,Rodrigo de Paul,ARG,MF,40000000,Udinese Calcio,35000000.0,José María Giménez,DF,False,False,0.6596094019257059
Atlético de Madrid,Rodrigo de Paul,ARG,MF,40000000,Udinese Calcio,35000000.0,João Félix,FW,False,False,0.7395478080612691
Atlético de Madrid,Rodrigo de Paul,ARG,MF,40000000,Udinese Calcio,35000000.0,Kieran Trippier,DF,False,False,0.812238311443845
Atlético de Madrid,Rodrigo de Paul,ARG,MF,40000000,Udinese Calcio,35000000.0,Koke,MF,True,False,0.8515185058890322
Atlético de Madrid,Rodrigo de Paul,ARG,MF,40000000,Udinese Calcio,35000000.0,Luis Suárez,FW,False,False,0.6547424224726365
Atlético de Madrid,Rodrigo de Paul,ARG,MF,40000000,Udinese Calcio,35000000.0,Marcos Llorente,MF,True,False,0.8327311260228482
Atlético de Madrid,Rodrigo de Paul,ARG,MF,40000000,Udinese Calcio,35000000.0,Mario Hermoso,DF,False,False,0.7454345756535702
Atlético de Madrid,Rodrigo de Paul,ARG,MF,40000000,Udinese Calcio,35000000.0,Saúl Ñíguez,MF,True,False,0.7672153690068553
Atlético de Madrid,Rodrigo de Paul,ARG,MF,40000000,Udinese Calcio,35000000.0,Stefan Savic,DF,False,False,0.7124670884846296
Atlético de Madrid,Rodrigo de Paul,ARG,MF,40000000,Udinese Calcio,35000000.0,Thomas Lemar,MF,True,False,0.8112991260753762
Atlético de Madrid,Rodrigo de Paul,ARG,MF,40000000,Udinese Calcio,35000000.0,Thomas Partey,MF,True,False,0.8102163260185286
Atlético de Madrid,Rodrigo de Paul,ARG,MF,40000000,Udinese Calcio,35000000.0,Yannick Carrasco,FW,False,False,0.8402528464238164
Atlético de Madrid,Rodrigo de Paul,ARG,MF,40000000,Udinese Calcio,35000000.0,Ángel Correa,FW,False,False,0.7914399989603467
Atlético de Madrid,Matheus Cunha,BRA,FW,30000000,Hertha BSC,30000000.0,Felipe,DF,False,False,0.6288918834929305
Atlético de Madrid,Matheus Cunha,BRA,FW,30000000,Hertha BSC,30000000.0,Jan Oblak,GK,False,False,0.43933145022707387
Atlético de Madrid,Matheus Cunha,BRA,FW,30000000,Hertha BSC,30000000.0,José María Giménez,DF,False,False,0.6394383126110319
Atlético de Madrid,Matheus Cunha,BRA,FW,30000000,Hertha BSC,30000000.0,João Félix,FW,True,False,0.848641639667872
Atlético de Madrid,Matheus Cunha,BRA,FW,30000000,Hertha BSC,30000000.0,Kieran Trippier,DF,False,False,0.7362389950243022
Atlético de Madrid,Matheus Cunha,BRA,FW,30000000,Hertha BSC,30000000.0,Koke,MF,False,False,0.7537352803569415
Atlético de Madrid,Matheus Cunha,BRA,FW,30000000,Hertha BSC,30000000.0,Luis Suárez,FW,True,False,0.8018733195680015
Atlético de Madrid,Matheus Cunha,BRA,FW,30000000,Hertha BSC,30000000.0,Marcos Llorente,MF,False,False,0.8223674546994961
Atlético de Madrid,Matheus Cunha,BRA,FW,30000000,Hertha BSC,30000000.0,Mario Hermoso,DF,False,False,0.6788751255111187
Atlético de Madrid,Matheus Cunha,BRA,FW,30000000,Hertha BSC,30000000.0,Saúl Ñíguez,MF,False,False,0.751955791822752
Atlético de Madrid,Matheus Cunha,BRA,FW,30000000,Hertha BSC,30000000.0,Stefan Savic,DF,False,False,0.6674341462041979
Atlético de Madrid,Matheus Cunha,BRA,FW,30000000,Hertha BSC,30000000.0,Thomas Lemar,MF,False,False,0.7924848511482159
Atlético de Madrid,Matheus Cunha,BRA,FW,30000000,Hertha BSC,30000000.0,Thomas Partey,MF,False,False,0.7347221086950351
Atlético de Madrid,Matheus Cunha,BRA,FW,30000000,Hertha BSC,30000000.0,Yannick Carrasco,FW,True,True,0.9020302603924497
