SquadIn,Player,Nation,Pos,Value,SquadOut,Fee
FC Barcelona,Antoine Griezmann,FRA,FW,60000000,Atlético de Madrid,120000000
FC Barcelona,Neto,BRA,GK,6000000,Valencia CF,26000000
FC Barcelona,Martin Braithwaite,DNK,FW,9000000,CD Leganés,18000000
Atlético de Madrid,Marcos Llorente,ESP,MF,80000000,Real Madrid,30000000
Atlético de Madrid,Mario Hermoso,ESP,DF,35000000,RCD Espanyol Barcelona,25000000
Atlético de Madrid,Kieran Trippier,ENG,DF,20000000,Tottenham Hotspur,22000000
Real Madrid,Eden Hazard,BEL,FW,40000000,Chelsea FC,115000000
Real Madrid,Luka Jovic,SRB,FW,20000000,Eintracht Frankfurt,63000000
Real Madrid,Ferland Mendy,FRA,DF,50000000,Olympique Lyon,48000000
Getafe CF,Erick Cabaco,URY,DF,2500000,Levante UD,8000000
Getafe CF,Enric Gallego,ESP,FW,1000000,SD Huesca,6000000
Getafe CF,Allan Nyom,CMR,DF,2000000,West Bromwich Albion,3000000
Getafe CF,Fayçal Fajr,MAR,MF,1800000,SM Caen,1500000
Getafe CF,Chema,ESP,DF,800000,Nottingham Forest,1500000
Getafe CF,Raúl Carnero,ESP,DF,600000,Girona FC,NA
Getafe CF,David Timor,ESP,MF,1500000,UD Las Palmas,NA
Getafe CF,Xabi Etxeita,ESP,DF,800000,Athletic Bilbao,NA
Valencia CF,Jasper Cillessen,NLD,GK,5000000,FC Barcelona,35000000
Valencia CF,Maxi Gómez,URY,FW,25000000,Celta de Vigo,14500000
Valencia CF,Jason,ESP,FW,2500000,Levante UD,NA
Sevilla FC,Jules Koundé,FRA,DF,60000000,FC Girondins Bordeaux,25000000
Sevilla FC,Rony Lopes,PRT,FW,7000000,AS Monaco,25000000
Sevilla FC,Youssef En-Nesyri,MAR,FW,40000000,CD Leganés,20000000
Sevilla FC,Diego Carlos,BRA,DF,45000000,FC Nantes,15000000
Sevilla FC,Lucas Ocampos,ARG,FW,40000000,Olympique Marseille,15000000
Sevilla FC,Joan Jordán,ESP,MF,30000000,SD Eibar,14000000
Sevilla FC,Chicharito,MEX,FW,2000000,West Ham United,7750000
Real Sociedad,Portu,ESP,FW,20000000,Girona FC,10000000
Real Sociedad,Nacho Monreal,ESP,DF,1500000,Arsenal FC,250000
RCD Espanyol Barcelona,Raúl de Tomás,ESP,FW,10000000,SL Benfica,22500000
RCD Espanyol Barcelona,Adrián Embarba,ESP,FW,7000000,Rayo Vallecano,10000000
RCD Espanyol Barcelona,Leandro Cabrera,URY,DF,3000000,Getafe CF,9000000
RCD Espanyol Barcelona,Fernando Calero,ESP,DF,2500000,Real Valladolid CF,8000000
RCD Espanyol Barcelona,Oier Olazábal,ESP,GK,300000,Levante UD,1500000
RCD Espanyol Barcelona,Ander Iturraspe,ESP,MF,NA,Athletic Bilbao,NA
Deportivo Alavés,Lucas Pérez,ESP,FW,3000000,West Ham United,2300000
Deportivo Alavés,Joselu,ESP,FW,8000000,Newcastle United,2240000
Deportivo Alavés,Pere Pons,ESP,MF,3500000,Girona FC,2000000
SD Eibar,Marc Cucurella,ESP,MF,20000000,FC Barcelona,2000000
SD Eibar,Takashi Inui,JPN,FW,1500000,Real Betis Balompié,2000000
CD Leganés,Kenneth Omeruo,NGA,DF,2000000,Chelsea FC,5000000
CD Leganés,Roberto Rosales,VEN,DF,500000,Málaga CF,1200000
CD Leganés,Sabin Merino,ESP,FW,1500000,Athletic Bilbao,NA
Real Betis Balompié,Borja Iglesias,ESP,FW,10000000,RCD Espanyol Barcelona,28000000
Real Betis Balompié,Giovani Lo Celso,ARG,MF,27000000,Paris Saint-Germain,22000000
Real Betis Balompié,Nabil Fekir,FRA,MF,25000000,Olympique Lyon,19750000
Real Betis Balompié,Juanmi,ESP,FW,2500000,Real Sociedad,8000000
Real Betis Balompié,Álex Moreno,ESP,DF,6000000,Rayo Vallecano,7000000
Villarreal CF,Paco Alcácer,ESP,FW,22000000,Borussia Dortmund,23000000
Villarreal CF,Rubén Peña,ESP,DF,4000000,SD Eibar,8000000
Villarreal CF,Raúl Albiol,ESP,DF,2500000,SSC Napoli,4000000
Villarreal CF,Moi Gómez,ESP,FW,8000000,Sporting Gijón,1300000
Villarreal CF,Alberto Moreno,ESP,DF,2500000,Liverpool FC,NA
Levante UD,Rúben Vezo,PRT,DF,10000000,Valencia CF,5000000
Levante UD,Sergio León,ESP,FW,1200000,Real Betis Balompié,4000000
Levante UD,Gonzalo Melero,ESP,MF,4500000,SD Huesca,3600000
Levante UD,Bruno González,ESP,DF,1000000,Getafe CF,NA
Levante UD,Óscar Duarte,CRI,DF,800000,RCD Espanyol Barcelona,NA
Levante UD,Jorge Miramón,ESP,DF,2000000,SD Huesca,NA
Real Valladolid CF,Pablo Hervías,ESP,FW,1500000,SD Eibar,1000000
Real Valladolid CF,Hatem Ben Arfa,FRA,MF,3000000,Without Club,NA
Celta de Vigo,Denis Suárez,ESP,MF,12000000,FC Barcelona,12900000
Celta de Vigo,Santi Mina,ESP,FW,15000000,Valencia CF,NA
Celta de Vigo,Nolito,ESP,FW,1500000,Sevilla FC,NA
Manchester City,João Cancelo,PRT,DF,55000000,Juventus FC,65000000
Manchester City,Rodri,ESP,MF,70000000,Atlético de Madrid,62700000
Manchester City,Pedro Porro,ESP,DF,20000000,Girona FC,12000000
Chelsea FC,Mateo Kovacic,HRV,MF,45000000,Real Madrid,45000000
Tottenham Hotspur,Tanguy Ndombélé,FRA,MF,50000000,Olympique Lyon,60000000
Tottenham Hotspur,Ryan Sessegnon,ENG,MF,18000000,Fulham FC,27000000
Arsenal FC,Nicolas Pépé,CIV,FW,35000000,LOSC Lille,80000000
Arsenal FC,William Saliba,FRA,DF,18000000,AS Saint-Étienne,30000000
Arsenal FC,David Luiz,BRA,DF,4000000,Chelsea FC,8700000
Manchester United,Harry Maguire,ENG,DF,50000000,Leicester City,87000000
Manchester United,Aaron Wan-Bissaka,ENG,DF,40000000,Crystal Palace,55000000
Wolverhampton Wanderers,Patrick Cutrone,ITA,FW,9000000,AC Milan,18000000
