SquadIn,PlayerIn,NationIn,PosIn,Value,SquadOut,Fee
FC Barcelona,Miralem Pjanić,BIH,MF,20000000,Juventus FC,60000000
Atlético de Madrid,Geoffrey Kondogbia,CAF,MF,15000000,Valencia CF,15000000
Atlético de Madrid,Luis Suárez,URY,FW,15000000,FC Barcelona,7000000
Sevilla FC,Óscar Rodríguez,ESP,MF,12000000,Real Madrid,13500000
Sevilla FC,Papu Gómez,ARG,FW,9000000,Atalanta BC,5000000
Sevilla FC,Karim Rekik,NLD,DF,3000000,Hertha BSC,2000000
Sevilla FC,Ivan Rakitic,HRV,MF,10000000,FC Barcelona,1500000
Villarreal CF,Pervis Estupiñán,ECU,DF,15000000,Watford FC,16399999
Villarreal CF,Francis Coquelin,FRA,MF,5000000,Valencia CF,7100000
Villarreal CF,Gerónimo Rulli,ARG,GK,4000000,Real Sociedad,5000000
Villarreal CF,Dani Parejo,ESP,MF,10000000,Valencia CF,2250000
Villarreal CF,Étienne Capoue,FRA,MF,2000000,Watford FC,2000000
Getafe CF,Enes Ünal,TUR,FW,7000000,Villarreal CF,9000000
Real Sociedad,Carlos Fernández,ESP,FW,9000000,Sevilla FC,10000000
Real Sociedad,David Silva,ESP,MF,5000000,Manchester City,NA
Athletic Bilbao,Álex Berenguer,ESP,FW,15000000,Torino FC,12000000
Granada CF,Jorge Molina,ESP,FW,1500000,Getafe CF,NA
Granada CF,Adrián Marín,ESP,DF,1200000,Deportivo Alavés,NA
CA Osasuna,Enric Gallego,ESP,FW,1000000,Getafe CF,3000000
CA Osasuna,Lucas Torró,ESP,MF,2200000,Eintracht Frankfurt,2000000
Levante UD,Jorge de Frutos,ESP,FW,15000000,Real Madrid,2000000
Real Betis Balompié,Martín Montoya,ESP,DF,2000000,Brighton & Hove Albion,NA
Real Betis Balompié,Claudio Bravo,CHL,GK,1000000,Manchester City,NA
Real Valladolid CF,Jawad El Yamiq,MAR,DF,1200000,Genoa CFC,250000
Real Valladolid CF,Bruno González,ESP,DF,1000000,Levante UD,NA
Real Valladolid CF,Roque Mesa,ESP,MF,2500000,Sevilla FC,NA
Real Valladolid CF,Roberto,ESP,GK,700000,West Ham United,NA
Real Valladolid CF,Fabián Orellana,CHL,FW,1500000,SD Eibar,NA
Deportivo Alavés,Jota Peleteiro,ESP,FW,1800000,Aston Villa,NA
Deportivo Alavés,Javi López,ESP,DF,600000,Deportivo Alavés B,NA
Celta de Vigo,Álvaro Vadillo,ESP,FW,700000,Granada CF,NA
Celta de Vigo,Facundo Ferreyra,ARG,FW,2000000,SL Benfica,NA
Arsenal FC,Thomas Partey,GHA,MF,40000000,Atlético de Madrid,50000000
Arsenal FC,Gabriel,BRA,DF,25000000,LOSC Lille,26000000
Arsenal FC,Rúnar Alex Rúnarsson,ISL,GK,1500000,Dijon FCO,2000000
Arsenal FC,Cédric Soares,PRT,DF,6000000,Southampton FC,NA
Arsenal FC,Willian,BRA,FW,9000000,Chelsea FC,NA
Aston Villa,Bertrand Traoré,BFA,FW,20000000,Olympique Lyon,18400000
Aston Villa,Emiliano Martínez,ARG,GK,35000000,Arsenal FC,17400000
Aston Villa,Morgan Sanson,FRA,MF,16000000,Olympique Marseille,15800000
Brighton & Hove Albion,Adam Lallana,ENG,MF,4000000,Liverpool FC,NA
Brighton & Hove Albion,Danny Welbeck,ENG,FW,4000000,Watford FC,NA
Burnley FC,Dale Stephens,ENG,MF,2500000,Brighton & Hove Albion,1100000
Chelsea FC,Kai Havertz,DEU,MF,70000000,Bayer 04 Leverkusen,80000000
Chelsea FC,Timo Werner,DEU,FW,65000000,RB Leipzig,53000000
Chelsea FC,Ben Chilwell,ENG,DF,45000000,Leicester City,50200000
Chelsea FC,Edouard Mendy,SEN,GK,25000000,Stade Rennais FC,24000000
Chelsea FC,Thiago Silva,BRA,DF,3000000,Paris Saint-Germain,NA
Chelsea FC,Malang Sarr,FRA,DF,10000000,OGC Nice,NA
Everton FC,Ben Godfrey,ENG,DF,25000000,Norwich City,27500000
Everton FC,Allan,BRA,MF,22000000,SSC Napoli,25000000
Everton FC,Abdoulaye Doucouré,FRA,MF,25000000,Watford FC,22100000
Everton FC,James Rodríguez,COL,MF,28000000,Real Madrid,NA
Everton FC,Joshua King,NOR,FW,8000000,AFC Bournemouth,NA
Leicester City,Wesley Fofana,FRA,DF,40000000,AS Saint-Étienne,35000000
Leicester City,Timothy Castagne,BEL,DF,28000000,Atalanta BC,20000000
Liverpool FC,Diogo Jota,PRT,FW,45000000,Wolverhampton Wanderers,44700000
Liverpool FC,Thiago,ESP,MF,30000000,Bayern Munich,22000000
Manchester City,Nathan Aké,NLD,DF,32000000,AFC Bournemouth,45300000
Manchester City,Ferran Torres,ESP,FW,50000000,Valencia CF,23000000
Manchester United,Amad Diallo,CIV,FW,18000000,Atalanta BC,21300000
Manchester United,Edinson Cavani,URY,FW,6000000,Paris Saint-Germain,NA
Manchester United,Dean Henderson,ENG,GK,22000000,Manchester United U23,NA
Newcastle United,Callum Wilson,ENG,FW,22000000,AFC Bournemouth,22250000
Newcastle United,Jamal Lewis,NIR,DF,15000000,Norwich City,16500000
Newcastle United,Ryan Fraser,SCO,FW,10000000,AFC Bournemouth,NA
Newcastle United,Jeff Hendrick,IRL,MF,9000000,Burnley FC,NA
Sheffield United,Aaron Ramsdale,ENG,GK,12000000,AFC Bournemouth,20500000
Sheffield United,Oliver Burke,SCO,FW,6000000,West Bromwich Albion,6500000
Southampton FC,Mohammed Salisu,GHA,DF,10000000,Real Valladolid CF,12000000
Southampton FC,Ibrahima Diallo,FRA,MF,15000000,Stade Brestois 29,12000000
Tottenham Hotspur,Sergio Reguilón,ESP,DF,25000000,Real Madrid,30000000
