SquadIn,PlayerInNationIn,PosIn,Value,SquadOut,Fee
Atlético de Madrid,Rodrigo de Paul,ARG,MF,40000000,Udinese Calcio,35000000
Atlético de Madrid,Matheus Cunha,BRA,FW,30000000,Hertha BSC,30000000
FC Barcelona,Emerson Royal,BRA,DF,25000000,Real Betis Balompié,14000000
FC Barcelona,Memphis Depay,NLD,FW,45000000,Olympique Lyon,NA
FC Barcelona,Sergio Agüero,ARG,FW,18000000,Manchester City,NA
FC Barcelona,Eric García,ESP,DF,20000000,Manchester City,NA
Real Madrid,Eduardo Camavinga,FRA,MF,55000000,Stade Rennais FC,31000000
Real Madrid,David Alaba,AUT,DF,55000000,Bayern Munich,NA
Sevilla FC,Rafa Mir,ESP,FW,12000000,Wolverhampton Wanderers,16000000
Sevilla FC,Thomas Delaney,DNK,MF,15000000,Borussia Dortmund,6000000
